"cluster","cluster_size","browns"
1,48,0.048438090971426
2,62,2.23790071061922e-77
3,5,0.399742269105041
4,4,0.102781642263423
5,4,0.847052935694636
6,4,0.63492075632384
7,3,0.393066400973763
8,3,0.9936730406852
9,3,0.886703886696468
10,3,0.10737376907954
11,3,0.404410238681142
12,3,0.537204520842469
13,3,0.329374782761198
14,2,0.598243189528692
15,2,0.872485154128879
16,2,0.988134357602418
17,2,0.00737888249380073
18,2,0.648850284014183
19,2,0.813638519490746
20,2,0.975311162504667
21,2,0.404844623305292
22,2,0.0584621458681528
23,2,0.796716251973182
24,2,0.0825500475353448
25,2,0.000983162975047993
26,2,0.30242939978761
27,2,0.0495932663062238
28,2,0.879714622314443
29,2,0.291067182081723
30,2,0.695749000726056
31,2,0.0679833800268681
32,2,0.558771564278394
33,2,0.805669340759262
34,2,0.0441307623493175
35,2,0.726540310510769
36,2,0.845709745041962
37,2,0.812105975136516
38,2,0.519382024524188
39,2,0.0826916550519788
40,2,0.721659692115843
41,2,0.960523765327325
42,2,0.809242086318639
43,2,3.60923403122358e-06
44,2,0.888046296627312
45,2,0.515727692268708
46,2,0.997201622162569
47,2,0.0563091276479906
48,2,0.755761469166967
49,2,0.960847478778893
50,2,0.035231819234855
51,2,0.685172373485607
52,2,0.673909530046823
53,2,0.947567522128074
54,2,0.695755969238517
55,2,0.385024989857479
56,2,0.412258885408244
57,2,0.476311922725092
58,2,0.951614504325721
59,2,0.806083436490056
60,2,0.641371825093467
61,2,0.975773180279175
62,2,0.325926879518355
63,2,0.0532638346213931
64,2,0.352356265608077
65,2,0.884547171106558
66,2,0.491653479584126
67,2,0.706167631578493
68,2,0.151754499430199
69,2,0.439425949749874
70,2,0.482723775989409
71,2,0.134038087515509
72,2,0.430813480775012
73,2,0.85983275797981
74,2,0.290631848864639
75,2,0.933723170005951
76,2,0.00126018624079088
77,2,0.866954397243713
78,2,0.237983429588728
79,2,0.327604299732755
80,2,0.778406665591574
81,2,0.253466579693451
82,2,0.79068174480297
83,2,0.680342412807811
84,2,0.605785401279839
85,2,0.552207540413473
86,2,0.409079098273949
87,2,0.867267207474503
88,2,0.0599679258483237
